track_name,artist_name,actual_region,predicted_region
Hip Hop Hooray,Naughty By Nature,East,West
C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,East,West
Where The Hood At,DMX,East,West
Juicy - 2005 Remaster,The Notorious B.I.G.,East,West
Dynamite!,The Roots;Rehani Sayed,East,West
Made You Look (feat. Jadakiss & Ludacris) - Remix,Nas;Jadakiss;Ludacris,East,West
Put Your Hands Where My Eyes Could See (feat. Jamal),Busta Rhymes;Jamal,East,West
"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",Snoop Dogg;Kurupt;Warren G;Nate Dogg,West,East
The Real Slim Shady,Eminem,West,East
"Nuthin' But A ""G"" Thang",Dr. Dre;Snoop Dogg,West,East
Hello,Ice Cube;Dr. Dre;MC Ren,West,East
